,momentum_long_short,momentum_long_only,low_volatility_long_short,low_volatility_long_only,reversal_long_short,reversal_long_only,multi_factor_long_short,multi_factor_long_only
2018-05-31,0.02449681186379781,-0.010857660098317123,-0.04851898243360008,-0.08462596859427717,0.23345893734807252,0.09633569842253094,0.13607042048581275,0.032264260603771036
2018-06-30,-0.048931688499160936,-0.020737334124015978,0.02553935150004408,0.0182483433762073,0.1790709081362632,0.10738903934448599,0.09709765399396465,0.04529105699912746
2018-07-31,-0.04709218572716211,0.04090139709586399,0.0743640684230211,0.09848753720561818,0.2262221459383761,0.16987277251667957,0.15390175538281306,0.13215276271313156
2018-08-31,0.09124683266426203,0.04028195949302067,-0.0034036744090297243,0.002724103674871825,0.26629828082697915,0.16110575971173063,0.21628245547879768,0.14631534772315735
2018-09-30,0.0060947813343321,0.023666308393503085,-0.07137943905285775,-0.0452004861554002,0.26284663820395104,0.12390657407568594,0.1560381245765573,0.07236655648319838
2018-10-31,-0.03787788248319009,-0.004115184789744948,0.011517882584356933,0.015520115580993935,0.25975457672974434,0.1551079681170582,0.15315968010384198,0.08653700341083084
2018-11-30,-0.00986680488925831,-0.008451110030938439,-0.03804053467012534,-0.006558247987541718,0.23105002387946466,0.1250260696681372,0.11015407569081705,0.06116089425739772
2018-12-31,-0.013681778673521805,-0.0027265980840710706,0.010627934111686206,0.038561375085197934,0.25024033192369977,0.15189928928990842,0.14391590727929374,0.09126995678503
2019-01-31,-0.10570550364680556,-0.009137248292653536,0.056775484857324546,0.030255963102707877,0.2039466328328813,0.12367735065476153,0.10781514871773358,0.050089100198919725
2019-02-28,-0.0005861208546419142,0.03334378742972769,0.08727012546288403,0.08141909483804438,0.17994814946146048,0.12846491289242062,0.10686292965649388,0.07600751786570921
2019-03-31,0.020183039756163576,-0.012380387264181442,-0.033147548626546765,-0.06427919483705503,0.20222439068823245,0.09702247854245985,0.09378298408777916,0.01435410376989956
2019-04-30,-0.04686668285758127,0.04068800002884451,0.06095693275211949,0.06295039916323249,0.2648001535560146,0.17370726476703435,0.10038534057786082,0.0773108611277988
2019-05-31,0.02855708560634916,0.021928857450851845,-0.09347209252248667,-0.04883479232241348,0.2110289813971695,0.09852057369967744,0.11907849216840236,0.04369210950862307
2019-06-30,0.03291696385331238,0.03758924801568188,-0.07254659670866563,-0.042896587351741046,0.20185236173303842,0.09602141907341032,0.10725822662688606,0.050688087911915106
2019-07-31,0.06931074865613558,0.0751490432068303,0.057728018477714825,0.06572975395393561,0.24492941779707775,0.13756077488938423,0.17798658935922507,0.10422133816315277
2019-08-31,-0.09437894918315437,-0.021491712401735873,0.09415703168538705,0.05822133962051071,0.3009342877335652,0.2088389300041379,0.11522013780487582,0.07975406007063542
2019-09-30,0.02776460659926252,0.024815240545065006,-0.08828189420693461,-0.04462308152665925,0.22459689230122734,0.09663664407088267,0.0864854063478662,0.027729638321397552
2019-10-31,0.08180350363568259,0.036611988677658316,0.01765419789798674,-0.005326580880685971,0.22518901615472864,0.1284507238463121,0.15090913842369422,0.06692844022772353
