Date,AAPL,MSFT,META,NVDA,GOOGL,JPM,AMZN,V,WMT,TSLA,JNJ,PG
2024-01-04,180.38282775878906,363.21319580078125,345.2260437011719,47.97394561767578,135.45574951171875,165.75469970703125,144.57000732421875,256.33038330078125,51.57605743408203,237.92999267578125,152.0353546142578,142.29400634765625
2024-01-05,179.658935546875,363.025634765625,350.02972412109375,49.072391510009766,134.80027770996094,166.58633422851562,145.24000549316406,256.4093933105469,51.232784271240234,237.49000549316406,152.50857543945312,141.11660766601562
2024-01-08,184.00216674804688,369.87646484375,356.703125,52.22681427001953,137.8889617919922,166.34457397460938,149.10000610351562,259.223388671875,51.73625183105469,240.4499969482422,152.88719177246094,142.33230590820312
2024-01-09,183.585693359375,370.96234130859375,355.4797668457031,53.113372802734375,139.9844970703125,165.02943420410156,151.3699951171875,260.00335693359375,52.08279800415039,234.9600067138672,152.98182678222656,142.91622924804688
2024-01-10,184.6269073486328,377.8526306152344,368.44866943359375,54.3227653503418,141.30538940429688,165.3775634765625,153.72999572753906,261.21783447265625,52.730106353759766,233.94000244140625,153.208984375,143.52886962890625
2024-01-11,184.03192138671875,379.6887512207031,367.6530456542969,54.794525146484375,141.10678100585938,164.6813201904297,155.17999267578125,260.6945495605469,52.671260833740234,227.22000122070312,152.52748107910156,144.074462890625
2024-01-12,184.35914611816406,383.4794616699219,372.44671630859375,54.68257522583008,141.6728515625,163.4725799560547,154.6199951171875,260.83282470703125,52.73992156982422,218.88999938964844,153.70115661621094,144.16062927246094
2024-01-16,182.08837890625,385.25628662109375,365.455078125,56.35374450683594,141.5139617919922,162.44754028320312,153.16000366210938,261.8892517089844,52.90665054321289,219.91000366210938,151.93121337890625,143.38526916503906
2024-01-17,181.14634704589844,384.46661376953125,366.36016845703125,56.0249137878418,140.50096130371094,161.5772247314453,151.7100067138672,263.2616882324219,52.65818786621094,215.5500030517578,151.8460235595703,143.52886962890625
2024-01-18,187.04640197753906,388.8100891113281,374.0777893066406,57.07838439941406,142.49717712402344,161.89633178710938,153.5,264.752685546875,53.367618560791016,211.8800048828125,152.58432006835938,142.70138549804688
2024-01-19,189.95181274414062,393.5484619140625,381.3578796386719,59.461185455322266,145.3773193359375,164.69097900390625,155.33999633789062,267.477783203125,53.08646011352539,212.19000244140625,153.02914428710938,142.15231323242188
2024-01-22,192.2622528076172,391.41619873046875,379.6969909667969,59.62409973144531,144.989990234375,164.4976043701172,154.77999877929688,267.7740173339844,53.08972930908203,208.8000030517578,153.77687072753906,142.43165588378906
2024-01-23,193.54139709472656,393.77545166015625,383.0983581542969,59.842994689941406,146.03280639648438,163.41453552246094,156.02000427246094,267.83319091796875,53.22377014160156,209.13999938964844,151.2592010498047,148.3269805908203
2024-01-24,192.8671417236328,397.3883972167969,388.56829833984375,61.331241607666016,147.68142700195312,164.87474060058594,156.8699951171875,268.2182922363281,52.47184371948242,207.8300018310547,150.4547119140625,146.53526306152344
2024-01-25,192.53988647460938,399.6687927246094,391.03472900390625,61.58612060546875,150.8297119140625,167.23422241210938,157.75,269.1661071777344,53.23685073852539,182.6300048828125,151.0225830078125,149.9067840576172
2024-01-26,190.80455017089844,398.7408142089844,391.9895324707031,61.00041198730469,151.1475372314453,166.5959930419922,159.1199951171875,264.5552062988281,53.7043571472168,183.25,150.96580505371094,150.4076690673828
2024-01-29,190.12037658691406,404.45648193359375,398.8320007324219,62.43369674682617,152.45848083496094,167.0311279296875,161.25999450683594,270.202880859375,53.95608901977539,190.92999267578125,150.83326721191406,150.4269561767578
2024-01-30,186.46136474609375,403.3409729003906,397.8772277832031,62.74253845214844,150.4225311279297,170.45436096191406,159.0,273.6488342285156,54.13589859008789,191.58999633789062,150.27487182617188,151.70814514160156
2024-01-31,182.85189819335938,392.472412109375,388.0113525390625,61.49616622924805,139.14035034179688,168.60736083984375,155.1999969482422,269.8079528808594,54.024742126464844,187.2899932861328,150.39791870117188,151.3709716796875
2024-02-01,185.29124450683594,398.5927429199219,392.6260070800781,62.99541091918945,140.19309997558594,167.99813842773438,159.27999877929688,273.5500793457031,55.025142669677734,188.86000061035156,149.88677978515625,153.33607482910156
2024-02-02,184.28973388671875,405.93719482421875,472.39837646484375,66.12684631347656,141.40472412109375,168.96514892578125,171.80999755859375,273.678466796875,55.437068939208984,187.91000366210938,148.23040771484375,152.2860870361328
2024-02-05,186.1043701171875,400.43878173828125,456.9034118652344,69.29725646972656,142.69581604003906,168.74278259277344,170.30999755859375,272.0986328125,55.13956832885742,181.05999755859375,147.46377563476562,152.4016876220703
2024-02-06,187.71078491210938,400.28076171875,452.2389831542969,68.18881225585938,143.11294555664062,169.32296752929688,169.14999389648438,273.2637634277344,55.51553726196289,185.10000610351562,149.6028594970703,153.1241455078125
2024-02-07,187.8198699951172,408.7308044433594,467.0278625488281,70.0638656616211,144.54307556152344,169.64207458496094,170.52999877929688,275.86053466796875,55.37495040893555,187.5800018310547,149.52713012695312,153.27828979492188
2024-02-08,186.73899841308594,408.7900695800781,467.4356384277344,69.60609436035156,144.91053771972656,169.03285217285156,169.83999633789062,272.8038635253906,55.37168884277344,189.55999755859375,148.03164672851562,152.81590270996094
2024-02-09,187.50352478027344,415.1473083496094,465.5559387207031,72.09685516357422,147.97938537597656,169.2359161376953,174.4499969482422,273.4468688964844,55.342262268066406,193.57000732421875,148.37242126464844,151.6407012939453
2024-02-12,185.8156280517578,409.92529296875,466.3416442871094,72.21178436279297,146.51943969726562,169.9901885986328,172.33999633789062,272.10150146484375,55.67572784423828,188.1300048828125,149.40406799316406,151.34207153320312
2024-02-13,183.7206573486328,401.10015869140625,457.6095275878906,72.09186553955078,144.14581298828125,168.51065063476562,168.63999938964844,272.8335266113281,55.2964973449707,184.02000427246094,148.09791564941406,150.5329132080078
2024-02-14,182.83700561523438,404.9769592285156,470.6977233886719,73.86296844482422,144.94032287597656,170.22227478027344,170.97999572753906,274.5646667480469,55.11995315551758,188.7100067138672,147.406982421875,149.9164276123047
2024-02-15,182.549072265625,402.0792236328125,481.3890686035156,72.62158203125,141.79205322265625,173.93556213378906,169.8000030517578,277.94775390625,55.34552764892578,200.4499969482422,149.47032165527344,151.24574279785156
2024-02-16,181.01014709472656,399.6067810058594,470.73748779296875,72.57660675048828,139.55746459960938,173.123291015625,169.50999450683594,275.55389404296875,55.69534683227539,199.9499969482422,149.29869079589844,151.72740173339844
2024-02-20,180.26548767089844,398.35076904296875,469.17608642578125,69.41720581054688,140.15335083007812,173.80020141601562,167.0800018310547,272.1806640625,57.493446350097656,193.75999450683594,150.5479736328125,152.69065856933594
2024-02-21,181.0200653076172,397.74749755859375,465.9702453613281,67.43818664550781,141.5735626220703,174.9315948486328,168.58999633789062,273.7733154296875,56.78728103637695,194.77000427246094,151.33001708984375,154.5112762451172
2024-02-22,183.0554656982422,407.11309814453125,483.9906005859375,78.49864196777344,143.1029815673828,177.02999877929688,174.5800018310547,280.6878356933594,57.34633255004883,197.41000366210938,153.01803588867188,154.66542053222656
2024-02-23,181.21864318847656,405.81756591796875,481.89984130859375,78.77750396728516,142.97390747070312,177.91966247558594,174.99000549316406,280.5395202636719,57.39536666870117,191.97000122070312,154.34364318847656,155.11814880371094
2024-02-26,179.8683624267578,403.0484619140625,479.6199035644531,79.0523681640625,136.62767028808594,177.31044006347656,174.72999572753906,281.08349609375,58.45460510253906,199.39999389648438,153.34225463867188,154.33790588378906
2024-02-27,181.327880859375,402.9891052246094,484.90655517578125,78.66156005859375,137.92868041992188,177.3974609375,173.5399932861328,280.1141357421875,58.444801330566406,199.72999572753906,153.52346801757812,153.45169067382812
2024-02-28,180.12649536132812,403.2264404296875,481.889892578125,77.62406921386719,135.44583129882812,178.2967987060547,173.16000366210938,282.5475769042969,58.47422790527344,202.0399932861328,154.06707763671875,154.17413330078125
2024-02-29,179.4612579345703,409.0812072753906,487.9729919433594,79.07235717773438,137.51158142089844,179.9213409423828,176.75999450683594,279.58984375,57.483642578125,201.8800048828125,153.90493774414062,153.10488891601562
2024-03-01,178.37904357910156,410.9206848144531,500.0893859863281,82.23776245117188,136.20062255859375,179.17677307128906,178.22000122070312,280.104248046875,57.6307487487793,202.63999938964844,154.61065673828125,153.01820373535156
2024-03-04,173.8515625,410.34710693359375,495.9975280761719,85.19429016113281,132.4365692138672,180.52090454101562,177.5800018310547,277.5025939941406,58.160377502441406,188.13999938964844,152.436279296875,153.70213317871094
2024-03-05,168.90704345703125,398.2123107910156,488.06256103515625,85.9249496459961,131.76123046875,182.32920837402344,174.1199951171875,276.3650207519531,58.88615798950195,180.74000549316406,152.5602569580078,153.47096252441406
2024-03-06,167.91416931152344,397.65850830078125,493.90673828125,88.65969848632812,130.49990844726562,183.27687072753906,173.50999450683594,277.4036560058594,59.405967712402344,176.5399932861328,151.95944213867188,153.71176147460938
2024-03-07,167.7950439453125,404.63079833984375,509.9358825683594,92.62689971923828,133.4595184326172,181.67164611816406,176.82000732421875,275.2571105957031,59.200008392333984,178.64999389648438,151.51119995117188,154.72320556640625
2024-03-08,169.5126953125,401.7429504394531,503.7233581542969,87.48823547363281,134.48245239257812,182.0100860595703,175.35000610351562,277.0179443359375,58.96461868286133,175.33999633789062,152.13113403320312,154.46311950683594
2024-03-11,171.518310546875,400.0616760253906,481.4617614746094,85.73503875732422,136.72698974609375,182.07778930664062,171.9600067138672,277.5323181152344,59.49423599243164,177.77000427246094,153.76190185546875,155.61907958984375
2024-03-12,171.99488830566406,410.7030944824219,497.5506896972656,91.87124633789062,137.55128479003906,183.57664489746094,175.38999938964844,280.8560791015625,60.22982406616211,177.5399932861328,155.2019500732422,155.985107421875
2024-03-13,169.90985107421875,410.5251159667969,493.3890380859375,90.84671020507812,138.83242797851562,185.06582641601562,176.55999755859375,282.0628662109375,60.10232162475586,169.47999572753906,153.63792419433594,156.341552734375
2024-03-14,171.7665252685547,420.5335388183594,489.6654968261719,87.904052734375,142.1197967529297,181.76834106445312,178.75,283.3191833496094,60.0511474609375,162.5,151.83547973632812,155.5709228515625
2024-03-15,171.38922119140625,411.8305358886719,481.9695129394531,87.7970962524414,140.21292114257812,184.02146911621094,174.4199981689453,279.9855041503906,59.71654510498047,163.57000732421875,150.85316467285156,155.455322265625
2024-03-18,172.4813995361328,412.7206115722656,494.7928466796875,88.41481018066406,146.6684112548828,186.3035888671875,174.47999572753906,281.97381591796875,59.89369201660156,173.8000030517578,149.4989471435547,155.29156494140625
2024-03-19,174.82455444335938,416.7655944824219,494.05609130859375,89.35739135742188,146.02285766601562,187.3963165283203,175.89999389648438,284.2490539550781,59.90353012084961,171.32000732421875,148.9744415283203,155.8887939453125
2024-03-20,177.39608764648438,420.5434875488281,503.29522705078125,90.33094024658203,147.7211456298828,189.85250854492188,178.14999389648438,286.1581726074219,60.27750015258789,175.66000366210938,148.54525756835938,156.0429229736328
2024-03-21,170.14813232421875,424.6378479003906,505.525390625,91.39346313476562,146.5889892578125,192.492431640625,178.14999389648438,287.2364196777344,60.47431945800781,172.82000732421875,148.5357208251953,155.91769409179688
2024-03-22,171.0516357421875,424.0147705078125,507.3373718261719,94.24617004394531,149.73724365234375,190.13294982910156,178.8699951171875,280.20318603515625,59.90353012084961,170.8300018310547,148.03981018066406,155.72503662109375
2024-03-25,169.63185119628906,418.19952392578125,500.8062438964844,94.9588394165039,149.04205322265625,188.39234924316406,179.7100067138672,278.1752624511719,59.60829162597656,172.6300048828125,148.03028869628906,154.30902099609375
2024-03-26,168.49996948242188,417.00286865234375,493.70770263671875,92.5189437866211,149.637939453125,189.27230834960938,178.3000030517578,277.57183837890625,59.54924774169922,177.6699981689453,148.55479431152344,154.65576171875
2024-03-27,172.07431030273438,416.7853088378906,491.6865539550781,90.20899963378906,149.8365478515625,192.93728637695312,179.8300018310547,276.0089111328125,59.75591278076172,179.8300018310547,150.64337158203125,156.64016723632812
2024-03-28,170.25733947753906,416.0831604003906,483.4430236816406,90.31495666503906,149.89613342285156,193.69154357910156,180.3800048828125,276.0682373046875,59.21464538574219,175.7899932861328,150.86270141601562,156.29336547851562
2024-04-01,168.8177032470703,419.8907775878906,489.1876220703125,90.32194519042969,154.4249267578125,192.3763885498047,180.97000122070312,275.2768859863281,59.047340393066406,175.22000122070312,150.47171020507812,154.68467712402344
2024-04-02,167.6361846923828,416.7952575683594,495.1811218261719,89.41136169433594,153.5012969970703,192.29905700683594,180.69000244140625,275.4352111816406,58.220680236816406,166.6300048828125,150.4239959716797,154.675048828125
2024-04-03,168.44039916992188,415.816162109375,504.5098571777344,88.92359161376953,153.85882568359375,191.75753784179688,182.41000366210938,273.97113037109375,58.48640060424805,168.3800048828125,147.11473083496094,150.41729736328125
2024-04-04,167.61631774902344,413.2745056152344,508.6715087890625,85.865966796875,149.49888610839844,190.29855346679688,180.0,271.0430908203125,58.55528259277344,171.11000061035156,145.436279296875,149.74301147460938
